Type test,Num test item,Limit,File name,Total Value,Total Weight,Runtime,Is Optimal?
10MultipleStronglyCorrelated,n01000,R01000,s073.kp,394498,241398,189.57826,FALSE
,,,,,,,
10MultipleStronglyCorrelated,n02000,R10000,s079.kp,7991817,4914817,184.3756,FALSE
,,,,,,,
10MultipleStronglyCorrelated,n05000,R01000,s099.kp,2000418,1229718,182.65122,FALSE
,,,,,,,
10MultipleStronglyCorrelated,n10000,R10000,s077.kp,40103656,24618656,181.98354,FALSE
,,,,,,,
11ProfitCeiling,n00050,R01000,s080.kp,11628,11632,0.17432,TRUE
,,,,,,,
11ProfitCeiling,n00100,R01000,s048.kp,23418,23432,0.00212,TRUE
,,,,,,,
11ProfitCeiling,n00200,R10000,s080.kp,502044,502062,211.15452,FALSE
,,,,,,,
11ProfitCeiling,n00500,R01000,s057.kp,121857,121902,197.60395,FALSE
,,,,,,,
11ProfitCeiling,n01000,R01000,s014.kp,243066,243166,196.06394,FALSE
,,,,,,,
11ProfitCeiling,n02000,R01000,s081.kp,491364,491565,185.01458,FALSE
,,,,,,,
11ProfitCeiling,n05000,R10000,s039.kp,12263322,12263782,181.9623,FALSE
,,,,,,,
11ProfitCeiling,n10000,R10000,s044.kp,24777024,24778004,181.12229,FALSE
,,,,,,,
12Circle,n00050,R10000,s038.kp,7488020,112326,0.59764,TRUE
,,,,,,,
12Circle,n00100,R01000,s018.kp,516447,24510,53.83127,TRUE
,,,,,,,
12Circle,n00200,R10000,s068.kp,34162870,512469,216.18164,FALSE
,,,,,,,
12Circle,n00500,R10000,s032.kp,79886297,1198355,192.65034,FALSE
,,,,,,,
12Circle,n01000,R01000,s013.kp,5124386,243197,186.05256,FALSE
,,,,,,,
12Circle,n02000,R10000,s092.kp,329500462,4942757,188.09686,FALSE
,,,,,,,
12Circle,n05000,R01000,s033.kp,26159483,1241497,180.95079,FALSE
,,,,,,,
12Circle,n10000,R10000,s058.kp,1667146765,25008466,180.96079,FALSE
